Date,Open,High,Low,Close,Adj Close,Volume,Return
2007-01-03,72.529999,72.650002,70.860001,70.970001,37.206234,2285800,NA
2007-01-04,69.919998,70.120003,69.32,69.32,36.341221,1723300,-0.023249274
2007-01-05,68.800003,69.279999,68.410004,68.980003,36.162975,1523400,-0.004904746
2007-01-08,69.050003,69.290001,68.269997,68.779999,36.058121,1475600,-0.002899449
2007-01-09,67.43,68.129997,67.160004,67.669998,35.476208,2064000,-0.016138427
2007-01-10,66.489998,66.839996,66.139999,66.169998,34.689827,1568000,-0.022166396
2007-01-11,66.580002,67.300003,66.470001,66.650002,34.941463,2323000,0.007254103
2007-01-12,67.099998,68,67.059998,67.900002,35.596779,1478500,0.018754688
2007-01-16,67.25,67.540001,66.620003,66.660004,34.946712,1302000,-0.01826212
2007-01-17,66.129997,67.019997,66.129997,66.959999,35.103992,1473900,0.004500375
2007-01-18,67.580002,67.589996,66.300003,66.559998,34.894279,1309000,-0.005973731
2007-01-19,66.57,67.709999,66.559998,67.639999,35.460476,1394000,0.016225977
2007-01-22,67.5,67.5,66.370003,66.550003,34.889038,1417500,-0.016114666
2007-01-23,67.169998,68.370003,67.169998,68.290001,35.801243,1429900,0.026145724
2007-01-24,68.32,68.449997,67.690002,68.230003,35.769787,1174700,-0.000878577
2007-01-25,67.220001,67.540001,66.800003,66.800003,35.020107,2416800,-0.020958522
2007-01-26,67.389999,67.410004,66.660004,66.860001,35.051552,1327900,0.000898174
2007-01-29,66.709999,66.959999,66.260002,66.379997,34.799915,1426200,-0.00717924
2007-01-30,67,67.75,66.919998,67.620003,35.449993,2053200,0.018680417
2007-01-31,67.290001,68.18,67.150002,68.050003,35.675426,2064100,0.006359065
2007-02-01,68.699997,69.230003,68.510002,69.059998,36.20491,1803100,0.014841954
2007-02-02,68.510002,68.959999,68.129997,68.849998,36.094822,1163700,-0.003040834
2007-02-05,68.75,68.860001,68.379997,68.669998,36.000454,864600,-0.002614379
2007-02-06,68.480003,68.589996,68.089996,68.510002,35.916584,1099400,-0.002329926
2007-02-07,68.839996,69.099998,68.379997,68.440002,35.879871,1185300,-0.001021749
2007-02-08,68.309998,68.970001,68.099998,68.800003,36.068615,1375000,0.005260096
2007-02-09,68.68,68.879997,68.230003,68.339996,35.827454,963200,-0.006686148
2007-02-12,67.690002,67.779999,67.260002,67.5,35.387081,990900,-0.012291426
2007-02-13,67.839996,68.730003,67.830002,68.480003,35.900848,1460200,0.014518563
2007-02-14,69.980003,70.389999,69.650002,70.139999,36.771111,2496300,0.024240595
2007-02-15,70.550003,70.57,69.809998,70.150002,36.776352,1382500,0.000142615
2007-02-16,69.800003,70.260002,69.790001,70.190002,36.797325,846000,0.000570207
2007-02-20,69.5,69.529999,69,69.410004,36.388393,1114400,-0.011112665
2007-02-21,68.660004,69.300003,68.379997,69.089996,36.220634,1303900,-0.004610402
