Date,Open,High,Low,Close,Adj Close,Volume,Return
2007-01-03,49.945,50.005001,49.275002,49.34,21.596405,1054000,NA
2007-01-04,49.450001,49.685001,49.23,49.599998,21.710203,918800,0.005269518
2007-01-05,49.415001,49.639999,48.880001,49.105,21.493542,513400,-0.009979799
2007-01-08,49.255001,49.375,48.875,49.150002,21.513241,531600,0.000916444
2007-01-09,50.395,50.470001,49.73,50.025002,21.896231,964000,0.017802644
2007-01-10,49.34,49.52,49.080002,49.5,21.666441,757400,-0.010494792
2007-01-11,49.025002,49.724998,49.025002,49.424999,21.633608,933200,-0.001515172
2007-01-12,49.860001,50.200001,49.810001,50.075001,21.918118,1634200,0.01315128
2007-01-16,50.419998,50.445,50.075001,50.145,21.948759,684200,0.001397883
2007-01-17,50.625,50.834999,50.490002,50.715,22.19825,834200,0.011367036
2007-01-18,50.825001,51,50.505001,50.575001,22.136974,812800,-0.002760505
2007-01-19,50.25,50.759998,50.165001,50.705002,22.193874,511600,0.00257046
2007-01-22,50.575001,50.575001,49.68,49.919998,21.850271,636000,-0.015481786
2007-01-23,48.75,49.240002,48.639999,49.209999,22.376795,967200,-0.014222737
2007-01-24,49.044998,50.099998,49.005001,50.095001,22.779222,1732600,0.017984191
2007-01-25,52.740002,53.049999,52.470001,52.544998,23.893288,2433600,0.048907016
2007-01-26,52.77,52.84,52.325001,52.525002,23.884193,1320400,-0.00038055
2007-01-29,52.66,52.945,52.580002,52.764999,23.99333,1052600,0.004569195
2007-01-30,55.075001,55.775002,55.02,55.310001,25.150589,2087400,0.048232769
2007-01-31,55.110001,55.595001,54.845001,55.365002,25.175598,1405000,0.000994413
2007-02-01,55.360001,55.685001,55.345001,55.584999,25.275637,1125200,0.003973575
2007-02-02,55.075001,55.130001,54.634998,54.825001,24.930052,894400,-0.013672718
2007-02-05,54.25,54.474998,54.049999,54.290001,24.686768,1001800,-0.009758322
2007-02-06,53.865002,53.950001,53.189999,53.575001,24.361647,1320800,-0.013170013
2007-02-07,54.119999,54.73,54.115002,54.5,24.782267,925400,0.017265497
2007-02-08,54.02,54.290001,53.66,53.965,24.538992,854800,-0.009816514
2007-02-09,54.105,54.255001,53.605,53.724998,24.429855,599600,-0.004447364
2007-02-12,53.825001,53.845001,53.514999,53.599998,24.373016,331400,-0.002326664
2007-02-13,54.485001,54.799999,54.415001,54.73,24.886854,655600,0.021082128
2007-02-14,55.040001,55.450001,55.025002,55.404999,25.193785,1287800,0.012333254
2007-02-15,55.07,55.224998,54.830002,54.93,24.977797,1029200,-0.008573216
2007-02-16,55.23,55.485001,55.084999,55.419998,25.200607,975000,0.008920408
2007-02-20,55.419998,55.544998,55.134998,55.470001,25.223347,1001800,0.000902256
2007-02-21,55.25,55.584999,55.084999,55.555,25.262001,991600,0.001532342
2007-02-22,55.82,56.195,55.73,56.119999,25.518913,990600,0.010170084
2007-02-23,55.549999,55.875,55.494999,55.810001,25.377951,917200,-0.005523842
2007-02-26,55.555,55.669998,55.174999,55.494999,25.234713,941800,-0.005644186
2007-02-27,54.115002,54.695,51.93,52.875,24.043348,1780600,-0.047211443
2007-02-28,52.755001,53.150002,52.25,52.82,24.018335,1453200,-0.001040189
2007-03-01,51.575001,52.41,51.474998,52.029999,23.659103,1010000,-0.014956475
2007-03-02,51.794998,52.115002,51.305,51.349998,23.349894,786200,-0.013069403
2007-03-05,50.369999,50.900002,50.169998,50.169998,22.81333,1238600,-0.022979553
2007-03-06,51.169998,51.540001,50.974998,51.445,23.393097,1322400,0.025413635
2007-03-07,51.09,51.849998,50.970001,51.455002,23.397646,763800,0.000194421
2007-03-08,52.275002,52.700001,52.25,52.305,23.784155,687000,0.016519249
2007-03-09,53.305,53.330002,52.294998,52.48,23.863733,1045400,0.00334576
2007-03-12,52.900002,53.41,52.830002,53.299999,24.236601,844000,0.015624981
2007-03-13,52.759998,53.099998,51.755001,51.759998,23.536333,831800,-0.028893077
2007-03-14,51.529999,51.77,50.705002,51.689999,23.504501,1278800,-0.001352376
2007-03-15,51.450001,52.244999,51.450001,52.134998,23.70685,710600,0.008608996
2007-03-16,52.154999,52.845001,52.110001,52.674999,23.952402,690000,0.010357745
2007-03-19,52.98,53.064999,52.775002,52.834999,24.025158,613000,0.003037494
2007-03-20,52.400002,53.09,52.34,53.09,24.141109,542000,0.004826365
2007-03-21,52.895,54.345001,52.814999,54.294998,24.689049,1008200,0.022697269
2007-03-22,55.110001,55.27,54.599998,54.759998,24.900492,1351800,0.008564325
2007-03-23,54.669998,55.049999,54.43,54.564999,24.811821,638800,-0.003560975
2007-03-26,54.98,55.075001,54.095001,54.75,24.895948,860600,0.00339047
2007-03-27,54.279999,54.439999,54.060001,54.305,24.693594,643800,-0.008127854
